idle=8
0, 2, 11, 87, 108
1, 91, 11, 87, 108
2, 180, 11, 87, 108
3, 269, 11, 87, 108
4, 358, 11, 87, 108
5, 447, 11, 87, 108
6, 536, 11, 87, 108
7, 625, 11, 87, 108
move=8
0, 723, 11, 87, 141
1, 812, 11, 87, 141
2, 901, 11, 87, 141
3, 990, 11, 87, 141
4, 1079, 11, 87, 141
5, 1168, 11, 87, 141
6, 1257, 11, 87, 141
7, 1346, 11, 87, 141
hurt=1
0, 1444, 11, 103, 107
die=14
0, 2, 163, 254, 169
1, 258, 163, 254, 169
2, 514, 163, 254, 169
3, 770, 163, 254, 169
4, 1026, 163, 254, 169
5, 1282, 163, 254, 169
6, 1538, 163, 254, 169
7, 2, 334, 254, 169
8, 258, 334, 254, 169
9, 514, 334, 254, 169
10, 770, 334, 254, 169
11, 1026, 334, 254, 169
12, 1282, 334, 254, 169
13, 1538, 334, 254, 169
hit=5
0, 2229, 350, 163, 153
1, 2394, 350, 163, 153
2, 2559, 350, 163, 153
3, 2724, 350, 163, 153
4, 2889, 350, 163, 153
attack=13
0, 2, 515, 434, 265
1, 438, 515, 434, 265
2, 874, 515, 434, 265
3, 1310, 515, 434, 265
4, 1746, 515, 434, 265
5, 2182, 515, 434, 265
6, 2618, 515, 434, 265
7, 2, 782, 434, 265
8, 438, 782, 434, 265
9, 874, 782, 434, 265
10, 1310, 782, 434, 265
11, 1746, 782, 434, 265
12, 2182, 782, 434, 265
